,player,position,age,team,games,games_started,mins_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
119,Seth Curry,PG,26,DAL,70,42,29.0,4.8,10.0,0.481,2.0,4.6,0.425,2.9,5.4,0.528,0.578,1.2,1.2,0.85,0.4,2.2,2.6,2.7,1.1,0.1,1.3,1.8,12.8
120,Stephen Curry,PG,28,GSW,79,79,33.4,8.5,18.3,0.468,4.1,10.0,0.411,4.4,8.3,0.537,0.58,4.1,4.1,0.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3
121,Troy Daniels,SG,25,MEM,67,3,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.6,0.796,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2
122,Anthony Davis,C,23,NOP,75,75,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,6.9,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0
123,Deyonta Davis,C,20,MEM,36,0,6.6,0.7,1.3,0.511,0.0,0.0,0.0,0.7,1.3,0.511,0.511,0.3,0.3,0.556,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,1.6
124,Ed Davis,PF,27,POR,46,12,17.2,1.6,3.1,0.528,0.0,0.0,0.0,1.6,3.1,0.528,0.528,1.1,1.1,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3
125,Dewayne Dedmon,C,27,SAS,76,37,17.5,2.1,3.4,0.622,0.0,0.0,0.0,2.1,3.4,0.622,0.622,0.9,0.9,0.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1
126,Sam Dekker,SF,22,HOU,77,2,18.4,2.6,5.6,0.473,0.8,2.4,0.321,1.9,3.1,0.591,0.543,0.5,0.5,0.559,1.2,2.5,3.7,1.0,0.5,0.3,0.5,1.1,6.5
127,Malcolm Delaney,PG,27,ATL,73,2,17.1,2.0,5.3,0.374,0.4,1.5,0.236,1.6,3.8,0.428,0.407,1.0,1.0,0.806,0.1,1.5,1.7,2.6,0.5,0.0,1.3,1.5,5.4
128,Matthew Dellavedova,PG,26,MIL,76,54,26.1,2.7,7.0,0.39,1.0,2.8,0.367,1.7,4.2,0.404,0.463,1.1,1.1,0.854,0.3,1.6,1.9,4.7,0.7,0.0,1.8,2.0,7.6
129,Luol Deng,SF,31,LAL,56,49,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,0.8,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6
130,DeMar DeRozan,SG,27,TOR,74,74,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,7.4,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3
131,Cheick Diallo,PF,20,NOP,17,0,11.7,2.1,4.5,0.474,0.0,0.0,0.0,2.1,4.5,0.474,0.474,0.9,0.9,0.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,5.1
132,Boris Diaw,PF,34,UTA,73,33,17.6,2.0,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.477,0.4,0.4,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6
133,Gorgui Dieng,PF,27,MIN,82,82,32.4,4.0,8.1,0.502,0.2,0.5,0.372,3.9,7.5,0.511,0.514,1.7,1.7,0.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10.0
134,Spencer Dinwiddie,PG,23,BRK,59,18,22.6,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.1,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2.0,7.3
135,Toney Douglas,PG,30,MEM,24,0,16.4,1.8,4.9,0.368,0.3,1.8,0.167,1.5,3.1,0.48,0.397,1.0,1.0,0.828,0.5,2.0,2.5,2.3,0.8,0.2,0.9,2.1,4.9
136,Goran Dragic,PG,30,MIA,73,73,33.7,7.3,15.4,0.475,1.6,4.0,0.405,5.7,11.4,0.499,0.527,4.1,4.1,0.79,0.8,3.0,3.8,5.8,1.2,0.2,2.9,2.7,20.3
137,Andre Drummond,C,23,DET,81,81,29.7,6.0,11.2,0.53,0.0,0.1,0.286,5.9,11.2,0.532,0.531,1.7,1.7,0.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6
138,Jared Dudley,PF,31,PHO,64,7,21.3,2.5,5.4,0.454,1.2,3.2,0.379,1.3,2.2,0.559,0.565,0.7,0.7,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8
139,Mike Dunleavy,SF,36,TOT,53,2,15.9,1.8,4.2,0.423,1.0,2.5,0.396,0.8,1.6,0.465,0.543,0.7,0.7,0.8,0.3,1.8,2.2,0.9,0.3,0.1,0.5,1.3,5.2
140,Mike Dunleavy,SF,36,CLE,23,2,15.9,1.6,3.9,0.4,0.9,2.5,0.351,0.7,1.4,0.485,0.511,0.6,0.6,0.737,0.2,1.8,2.0,0.9,0.3,0.1,0.6,1.4,4.6
141,Mike Dunleavy,SF,36,ATL,30,0,15.8,1.9,4.3,0.438,1.1,2.6,0.429,0.8,1.8,0.453,0.565,0.7,0.7,0.846,0.4,1.8,2.3,1.0,0.3,0.2,0.5,1.2,5.6
142,Kris Dunn,PG,22,MIN,78,7,17.1,1.5,4.0,0.377,0.3,0.9,0.288,1.2,3.1,0.404,0.411,0.5,0.5,0.61,0.3,1.8,2.1,2.4,1.0,0.5,1.1,2.3,3.8
143,Kevin Durant,SF,28,GSW,62,62,33.4,8.9,16.5,0.537,1.9,5.0,0.375,7.0,11.5,0.608,0.594,5.4,5.4,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1
144,Jarell Eddie,SF,25,PHO,5,0,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.4,0.6,0.667,0.421,1.6,1.6,0.889,0.2,1.2,1.4,0.0,0.2,0.0,0.2,0.2,4.8
145,Henry Ellenson,PF,20,DET,19,2,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.7,1.5,0.448,0.438,0.2,0.2,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2
146,Wayne Ellington,SG,29,MIA,62,13,24.2,3.7,9.0,0.416,2.4,6.4,0.378,1.3,2.6,0.509,0.55,0.6,0.6,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5
147,Monta Ellis,SG,31,IND,74,33,27.0,3.3,7.5,0.443,0.6,1.8,0.319,2.8,5.7,0.483,0.482,1.3,1.3,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2.0,8.5
148,Joel Embiid,C,22,PHI,31,31,25.4,6.5,13.8,0.466,1.2,3.2,0.367,5.3,10.7,0.495,0.508,6.2,6.2,0.783,2.0,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2
149,James Ennis,SF,26,MEM,64,28,23.5,2.3,5.0,0.455,0.8,2.1,0.372,1.5,2.9,0.516,0.534,1.3,1.3,0.782,1.1,3.0,4.0,1.0,0.7,0.3,0.9,2.6,6.7
150,Tyler Ennis,PG,22,TOT,53,2,11.1,1.7,3.9,0.433,0.5,1.3,0.386,1.2,2.6,0.457,0.498,0.4,0.4,0.84,0.2,0.7,0.8,1.6,0.5,0.0,0.8,1.1,4.3
151,Tyler Ennis,PG,22,HOU,31,0,6.3,0.8,2.1,0.391,0.2,0.5,0.375,0.6,1.5,0.396,0.438,0.1,0.1,0.667,0.1,0.5,0.6,1.1,0.2,0.0,0.8,0.9,1.9
152,Tyler Ennis,PG,22,LAL,22,2,17.8,3.0,6.5,0.451,1.0,2.5,0.389,2.0,4.1,0.489,0.524,0.9,0.9,0.864,0.2,1.0,1.2,2.4,0.9,0.1,1.0,1.3,7.7
153,Tyreke Evans,SF,27,TOT,40,6,19.7,3.8,9.3,0.405,1.1,3.0,0.356,2.7,6.3,0.429,0.462,1.7,1.7,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3
154,Tyreke Evans,SF,27,NOP,26,0,18.2,3.5,8.7,0.401,0.8,2.7,0.3,2.7,6.0,0.446,0.447,1.7,1.7,0.776,0.2,3.1,3.3,3.5,0.9,0.2,1.5,1.6,9.5
155,Tyreke Evans,SF,27,SAC,14,6,22.4,4.2,10.2,0.413,1.5,3.4,0.438,2.7,6.8,0.4,0.486,1.7,1.7,0.706,0.5,3.1,3.6,2.4,0.9,0.4,1.6,1.4,11.6
156,Dante Exum,PG,21,UTA,66,26,18.6,2.3,5.5,0.427,0.7,2.3,0.295,1.7,3.2,0.519,0.488,0.9,0.9,0.795,0.5,1.5,2.0,1.7,0.3,0.2,1.2,2.2,6.2
157,Kenneth Faried,PF,27,DEN,61,34,21.2,3.7,6.8,0.548,0.0,0.1,0.0,3.7,6.7,0.556,0.548,2.1,2.1,0.693,3.0,4.6,7.6,0.9,0.7,0.7,1.0,2.0,9.6
158,Jordan Farmar,PG,30,SAC,2,0,17.5,2.0,6.0,0.333,2.0,4.5,0.444,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1.5,4.5,1.0,0.0,1.5,0.5,6.0
159,Derrick Favors,PF,25,UTA,50,39,23.7,4.1,8.3,0.487,0.1,0.2,0.3,4.0,8.1,0.491,0.49,1.3,1.3,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5
160,Kay Felder,PG,21,CLE,42,0,9.2,1.5,3.8,0.392,0.2,0.5,0.318,1.3,3.2,0.404,0.415,0.8,0.8,0.714,0.1,0.9,1.0,1.4,0.4,0.2,0.7,0.9,4.0
161,Cristiano Felicio,C,24,CHI,66,0,15.8,1.9,3.3,0.579,0.0,0.0,0.0,1.9,3.3,0.579,0.579,0.9,0.9,0.645,1.9,2.8,4.7,0.6,0.4,0.3,0.5,1.7,4.8
162,Raymond Felton,PG,32,LAC,80,11,21.3,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.6,0.781,0.4,2.3,2.7,2.4,0.8,0.3,1.0,1.6,6.7
163,Yogi Ferrell,PG,23,TOT,46,29,26.0,3.5,8.6,0.406,1.5,3.8,0.386,2.0,4.7,0.422,0.492,1.6,1.6,0.831,0.4,2.0,2.4,3.7,0.9,0.2,1.5,2.0,10.0
164,Yogi Ferrell,PG,23,BRK,10,0,15.1,1.8,4.9,0.367,0.8,2.7,0.296,1.0,2.2,0.455,0.449,1.0,1.0,0.625,0.4,0.8,1.2,1.7,0.2,0.2,1.4,1.1,5.4
165,Yogi Ferrell,PG,23,DAL,36,29,29.1,3.9,9.6,0.412,1.7,4.1,0.403,2.3,5.4,0.418,0.499,1.8,1.8,0.877,0.4,2.3,2.8,4.3,1.1,0.2,1.6,2.2,11.3
166,Dorian Finney-Smith,PF,23,DAL,81,35,20.3,1.5,4.1,0.372,0.7,2.4,0.293,0.8,1.8,0.479,0.456,0.6,0.6,0.754,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3
167,Bryn Forbes,SG,23,SAS,36,0,7.9,1.0,2.8,0.364,0.5,1.5,0.321,0.5,1.3,0.413,0.449,0.1,0.1,0.833,0.1,0.6,0.6,0.6,0.0,0.0,0.3,0.6,2.6
168,Evan Fournier,SG,24,ORL,68,66,32.9,6.0,13.7,0.439,1.9,5.3,0.356,4.1,8.4,0.491,0.508,3.3,3.3,0.805,0.6,2.4,3.1,3.0,1.0,0.1,2.1,2.6,17.2
169,Randy Foye,SG,33,BRK,69,40,18.6,1.7,4.7,0.363,1.0,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.8,0.857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,5.2
170,Tim Frazier,PG,26,NOP,65,35,23.5,2.5,6.2,0.403,0.6,2.0,0.313,1.9,4.2,0.446,0.453,1.5,1.5,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2.0,7.1
171,Channing Frye,C,33,CLE,74,15,18.9,3.2,7.0,0.458,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,0.9,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1
172,Danilo Gallinari,SF,28,DEN,63,63,33.9,5.3,11.9,0.447,2.0,5.1,0.389,3.3,6.8,0.491,0.531,5.5,5.5,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2
173,Langston Galloway,PG,25,TOT,74,2,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.367,0.49,0.7,0.7,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9
174,Langston Galloway,PG,25,NOP,55,0,20.4,3.0,8.0,0.374,1.8,4.9,0.377,1.2,3.1,0.37,0.489,0.7,0.7,0.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6
175,Langston Galloway,PG,25,SAC,19,2,19.7,2.2,5.5,0.404,1.0,2.1,0.475,1.2,3.4,0.359,0.495,0.6,0.6,0.917,0.4,1.5,1.8,1.5,0.3,0.1,0.9,1.1,6.0
176,Patricio Garino,SG,23,ORL,5,0,8.6,0.0,1.4,0.0,0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.4,0.0,0.0,0.0,0.6,0.8,0.0
177,Marc Gasol,C,32,MEM,74,74,34.2,7.2,15.7,0.459,1.4,3.6,0.388,5.8,12.1,0.48,0.503,3.8,3.8,0.837,0.8,5.5,6.3,4.6,0.9,1.3,2.2,2.3,19.5
178,Pau Gasol,C,36,SAS,64,39,25.4,4.7,9.4,0.502,0.9,1.6,0.538,3.9,7.8,0.494,0.548,2.0,2.0,0.707,1.7,6.2,7.8,2.3,0.4,1.1,1.3,1.7,12.4
179,Rudy Gay,SF,30,SAC,30,30,33.8,6.7,14.7,0.455,1.4,3.8,0.372,5.3,11.0,0.483,0.502,3.9,3.9,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7
180,Michael Gbinije,SG,24,DET,9,0,3.6,0.1,1.1,0.1,0.0,0.4,0.0,0.1,0.7,0.167,0.1,0.2,0.2,1.0,0.2,0.1,0.3,0.2,0.0,0.0,0.0,0.2,0.4
181,Alonzo Gee,SF,29,DEN,13,0,6.8,0.2,1.1,0.214,0.0,0.2,0.0,0.2,0.8,0.273,0.214,0.4,0.4,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8
182,Paul George,SF,26,IND,75,75,35.9,8.3,18.0,0.461,2.6,6.6,0.393,5.7,11.4,0.501,0.534,4.5,4.5,0.898,0.8,5.8,6.6,3.3,1.6,0.4,2.9,2.7,23.7
183,Marcus Georges-Hunt,SG,22,ORL,5,0,9.6,0.4,1.4,0.286,0.2,0.4,0.5,0.2,1.0,0.2,0.357,1.8,1.8,0.9,0.2,1.6,1.8,0.6,0.2,0.0,0.4,1.0,2.8
184,Jonathan Gibson,PG,29,DAL,17,0,13.6,2.1,5.6,0.368,0.9,2.6,0.333,1.2,2.9,0.4,0.447,1.2,1.2,0.724,0.1,1.2,1.3,1.5,0.5,0.0,1.2,1.2,6.2
185,Taj Gibson,PF,31,TOT,78,71,25.5,4.7,9.1,0.515,0.0,0.2,0.231,4.6,8.9,0.52,0.517,1.4,1.4,0.715,2.0,4.2,6.2,0.9,0.5,0.8,1.3,2.1,10.8
186,Taj Gibson,PF,31,CHI,55,55,27.3,5.0,9.6,0.521,0.0,0.2,0.167,5.0,9.4,0.529,0.523,1.5,1.5,0.714,2.2,4.8,6.9,1.1,0.5,0.9,1.4,2.2,11.6
187,Taj Gibson,PF,31,OKC,23,16,21.2,3.9,7.8,0.497,0.0,0.0,1.0,3.8,7.7,0.494,0.5,1.2,1.2,0.718,1.7,2.8,4.5,0.6,0.6,0.7,1.2,1.7,9.0
188,Manu Ginobili,SG,39,SAS,69,0,18.7,2.5,6.4,0.39,1.3,3.3,0.392,1.2,3.1,0.387,0.491,1.2,1.2,0.804,0.4,1.9,2.3,2.7,1.2,0.2,1.4,1.7,7.5
189,Rudy Gobert,C,24,UTA,81,81,33.9,5.1,7.7,0.661,0.0,0.0,0.0,5.1,7.7,0.662,0.661,3.8,3.8,0.653,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0
190,Archie Goodwin,SG,22,TOT,15,0,14.3,2.4,4.4,0.545,0.3,1.0,0.333,2.1,3.4,0.608,0.583,2.2,2.2,0.786,0.5,1.4,1.9,1.6,0.3,0.3,0.9,0.5,7.3
191,Archie Goodwin,SG,22,NOP,3,0,10.0,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.0,0.333,0.5,3.3,3.3,1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,5.0
192,Archie Goodwin,SG,22,BRK,12,0,15.3,2.8,5.1,0.557,0.3,1.1,0.308,2.5,4.0,0.625,0.59,1.9,1.9,0.719,0.6,1.8,2.3,1.9,0.3,0.3,1.2,0.6,7.9
193,Aaron Gordon,SF,21,ORL,80,72,28.7,4.9,10.8,0.454,1.0,3.3,0.288,4.0,7.5,0.528,0.499,2.0,2.0,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7
194,Eric Gordon,SG,28,HOU,75,15,31.0,5.5,13.5,0.406,3.3,8.8,0.372,2.2,4.7,0.468,0.527,2.0,2.0,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2
195,Marcin Gortat,C,32,WAS,82,82,31.2,4.8,8.2,0.579,0.0,0.0,0.0,4.8,8.2,0.58,0.579,1.3,1.3,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8
196,Treveon Graham,SG,23,CHO,27,1,7.0,0.7,1.5,0.475,0.3,0.6,0.6,0.4,0.9,0.4,0.588,0.4,0.4,0.667,0.2,0.6,0.8,0.2,0.2,0.0,0.1,0.7,2.1
197,Jerami Grant,PF,22,TOT,80,4,19.1,1.9,4.1,0.463,0.5,1.5,0.371,1.4,2.7,0.514,0.529,1.1,1.1,0.612,0.5,2.1,2.6,0.6,0.4,1.0,0.6,1.9,5.5
198,Jerami Grant,PF,22,PHI,2,0,20.5,3.0,8.5,0.353,0.0,1.0,0.0,3.0,7.5,0.4,0.353,2.0,2.0,0.5,0.0,3.0,3.0,0.0,0.0,2.0,1.5,2.5,8.0
199,Jerami Grant,PF,22,OKC,78,4,19.1,1.9,4.0,0.469,0.6,1.5,0.377,1.3,2.5,0.523,0.539,1.1,1.1,0.619,0.5,2.1,2.6,0.6,0.4,1.0,0.5,1.8,5.4
200,Jerian Grant,PG,24,CHI,63,28,16.3,2.0,4.8,0.425,0.8,2.1,0.366,1.3,2.7,0.473,0.507,1.0,1.0,0.89,0.3,1.5,1.8,1.9,0.7,0.1,0.7,1.5,5.9
201,Danny Green,SG,29,SAS,68,68,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2.0,0.42,0.523,0.4,0.4,0.844,0.5,2.8,3.3,1.8,1.0,0.8,1.1,1.8,7.3
202,Draymond Green,PF,26,GSW,76,76,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.481,2.0,2.0,0.709,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2
203,Gerald Green,SF,31,BOS,47,0,11.4,2.0,4.9,0.409,0.8,2.4,0.351,1.2,2.6,0.463,0.494,0.7,0.7,0.805,0.3,1.4,1.8,0.7,0.2,0.1,0.5,1.0,5.6
204,JaMychal Green,PF,26,MEM,77,75,27.3,3.2,6.5,0.5,0.7,1.9,0.379,2.5,4.6,0.549,0.555,1.7,1.7,0.802,2.2,4.9,7.1,1.1,0.6,0.4,1.2,3.2,8.9
205,Jeff Green,PF,30,ORL,69,11,22.2,3.2,8.1,0.394,0.8,2.8,0.275,2.4,5.3,0.458,0.442,2.1,2.1,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,1.5,9.2
206,Blake Griffin,PF,27,LAC,61,61,34.0,7.9,15.9,0.493,0.6,1.9,0.336,7.2,14.1,0.514,0.513,5.2,5.2,0.76,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6
207,Justin Hamilton,C,26,BRK,64,7,18.4,2.7,5.9,0.459,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.6,0.75,1.1,3.0,4.1,0.9,0.5,0.7,0.7,1.4,6.9
208,A.J. Hammons,C,24,DAL,22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.4,0.45,0.4,1.3,1.6,0.2,0.0,0.6,0.5,1.0,2.2
209,Tim Hardaway,SG,24,ATL,79,30,27.3,5.3,11.5,0.455,1.9,5.3,0.357,3.4,6.3,0.537,0.537,2.1,2.1,0.766,0.4,2.4,2.8,2.3,0.7,0.2,1.3,1.3,14.5
210,James Harden,PG,27,HOU,81,81,36.4,8.3,18.9,0.44,3.2,9.3,0.347,5.1,9.6,0.53,0.525,9.2,9.2,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1
211,Maurice Harkless,SF,23,POR,77,69,28.9,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.572,0.558,1.0,1.0,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10.0
212,Justin Harper,PF,27,PHI,3,0,10.3,1.7,4.0,0.417,0.7,2.3,0.286,1.0,1.7,0.6,0.5,0.0,0.0,0.0,0.7,1.0,1.7,0.7,0.0,0.0,1.3,0.7,4.0
213,Montrezl Harrell,C,23,HOU,58,14,18.3,3.9,5.9,0.652,0.0,0.1,0.143,3.9,5.8,0.663,0.654,1.3,1.3,0.628,1.4,2.4,3.8,1.1,0.3,0.7,0.8,2.2,9.1
214,Devin Harris,PG,33,DAL,65,0,16.7,2.1,5.2,0.399,0.9,2.7,0.328,1.2,2.5,0.476,0.484,1.6,1.6,0.829,0.2,1.8,2.0,2.1,0.7,0.1,0.9,1.6,6.7
215,Gary Harris,SG,22,DEN,57,56,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.558,0.586,1.8,1.8,0.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9
216,Joe Harris,SG,25,BRK,52,11,21.9,3.0,7.0,0.425,1.6,4.3,0.385,1.3,2.7,0.489,0.543,0.7,0.7,0.714,0.3,2.5,2.8,1.0,0.6,0.2,1.1,2.3,8.2
217,Manny Harris,SG,27,DAL,4,0,6.3,0.8,3.8,0.2,0.0,0.5,0.0,0.8,3.3,0.231,0.2,0.5,0.5,0.5,0.8,1.5,2.3,0.5,0.0,0.0,0.5,0.3,2.0
218,Tobias Harris,PF,24,DET,82,48,31.3,6.2,13.0,0.481,1.3,3.8,0.347,4.9,9.1,0.537,0.532,2.3,2.3,0.841,0.8,4.3,5.1,1.7,0.7,0.5,1.2,1.6,16.1
219,Aaron Harrison,SG,22,CHO,5,0,3.4,0.0,0.8,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.5,0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.4,0.2
220,Andrew Harrison,PG,22,MEM,72,18,20.5,1.6,5.0,0.325,0.6,2.2,0.276,1.0,2.8,0.363,0.385,2.1,2.1,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9
221,Udonis Haslem,C,36,MIA,16,0,8.1,0.7,1.4,0.478,0.0,0.2,0.0,0.7,1.3,0.55,0.478,0.6,0.6,0.6,0.5,1.8,2.3,0.4,0.4,0.1,0.5,1.4,1.9
222,Spencer Hawes,PF,28,TOT,54,1,14.8,2.5,5.1,0.484,0.5,1.5,0.309,2.0,3.6,0.556,0.529,0.8,0.8,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2
223,Spencer Hawes,PF,28,CHO,35,1,17.9,3.0,6.2,0.477,0.5,1.6,0.291,2.5,4.7,0.54,0.514,0.9,0.9,0.882,0.9,3.3,4.2,1.8,0.4,0.7,1.1,1.7,7.3
224,Spencer Hawes,PF,28,MIL,19,0,9.0,1.6,3.1,0.508,0.5,1.4,0.346,1.1,1.7,0.636,0.585,0.7,0.7,0.778,0.3,2.1,2.4,1.0,0.1,0.2,0.5,0.8,4.4
225,Gordon Hayward,SF,26,UTA,73,73,34.5,7.5,15.8,0.471,2.0,5.1,0.398,5.4,10.7,0.506,0.536,5.0,5.0,0.844,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9
226,Gerald Henderson,SG,29,PHI,72,41,23.2,3.3,7.7,0.423,0.8,2.4,0.353,2.4,5.3,0.455,0.478,1.8,1.8,0.806,0.5,2.1,2.6,1.6,0.6,0.2,0.9,1.8,9.2
227,John Henson,C,26,MIL,58,39,19.4,2.7,5.3,0.515,0.0,0.0,0.0,2.7,5.3,0.516,0.515,1.3,1.3,0.692,1.6,3.5,5.1,1.0,0.5,1.3,0.9,2.6,6.8
228,Juan Hernangomez,PF,21,DEN,62,9,13.6,1.6,3.6,0.451,0.7,1.8,0.407,0.9,1.8,0.495,0.554,0.9,0.9,0.75,0.7,2.3,3.0,0.5,0.5,0.2,0.5,1.0,4.9
229,Willy Hernangomez,C,22,NYK,72,22,18.4,3.4,6.5,0.529,0.1,0.2,0.267,3.4,6.3,0.538,0.533,1.3,1.3,0.728,2.4,4.6,7.0,1.3,0.6,0.5,1.4,2.1,8.2
230,Mario Hezonja,SF,21,ORL,65,2,14.8,1.8,5.1,0.355,0.7,2.2,0.299,1.1,2.9,0.398,0.42,0.6,0.6,0.8,0.3,1.9,2.2,1.0,0.5,0.2,0.9,1.1,4.9
231,Roy Hibbert,C,30,TOT,48,13,14.2,1.7,3.1,0.544,0.0,0.0,0.0,1.7,3.1,0.544,0.544,1.3,1.3,0.813,1.1,2.0,3.2,0.4,0.2,1.0,0.7,2.1,4.6
232,Roy Hibbert,C,30,CHO,42,13,16.0,1.9,3.4,0.542,0.0,0.0,0.0,1.9,3.4,0.542,0.542,1.5,1.5,0.813,1.3,2.3,3.6,0.5,0.2,1.0,0.7,2.3,5.2
233,Roy Hibbert,C,30,DEN,6,0,1.8,0.3,0.5,0.667,0.0,0.0,0.0,0.3,0.5,0.667,0.667,0.0,0.0,0.0,0.2,0.2,0.3,0.2,0.0,0.3,0.2,0.5,0.7
234,Buddy Hield,SG,23,TOT,82,55,23.0,4.0,9.4,0.426,1.8,4.6,0.391,2.2,4.7,0.461,0.523,0.8,0.8,0.842,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6
235,Buddy Hield,SG,23,NOP,57,37,20.4,3.2,8.3,0.393,1.6,4.2,0.369,1.7,4.0,0.417,0.487,0.5,0.5,0.879,0.3,2.6,2.9,1.4,0.3,0.1,0.8,1.4,8.6
236,Buddy Hield,SG,23,SAC,25,18,29.1,5.7,11.8,0.48,2.4,5.5,0.428,3.3,6.3,0.525,0.579,1.4,1.4,0.814,0.6,3.5,4.1,1.8,0.8,0.1,2.1,1.4,15.1
237,Nene Hilario,C,34,HOU,67,8,17.9,3.7,5.9,0.617,0.0,0.1,0.333,3.6,5.8,0.624,0.621,1.7,1.7,0.589,1.4,2.8,4.2,1.0,0.8,0.6,1.1,2.4,9.1
